"","RP.1.5","RP.2","RP.5","RP.10","RP.50","RP.100","RP.200","RP.1000"
"kap",93.25747853304,114.147078949212,182.097520374187,221.204017738673,273.064438379273,284.574723839975,292.329416647425,301.894406835867
"wak",97.4932057531242,116.924197280353,174.213256963881,213.262227899609,291.516143684622,320.518373901667,347.036625289207,400.179050329343
"gpa",97.4932057531242,116.924197280353,174.213256963881,213.262227899609,291.516143684622,320.518373901667,347.036625289207,400.179050329343
"exp",97.2027833376356,114.554494309781,169.821100985803,211.628675005729,308.702855701677,350.510429721603,392.318003741528,489.392184437476
"wei",98.4554697419346,117.51745141583,172.464738395566,210.955709664689,294.86813161944,329.409532052459,363.23643883175,439.566890273116
"pe3",98.9210046566152,117.670654502357,171.736388564965,210.251653427502,296.438657189401,332.767727739164,368.794284500973,451.608234359661
"ln3",100.687590623349,118.387179277779,168.781268644291,206.712954695743,301.889840123504,347.055065960121,395.142362205333,519.245340798189
"gno",100.687590623349,118.387179277779,168.781268644291,206.712954695743,301.889840123504,347.055065960121,395.142362205333,519.245340798189
"gev",101.627538002538,118.852895707553,167.138741717208,204.345299325398,304.040894650651,354.893074742042,411.611185300791,570.336136500992
"ray",104.078671397889,126.826651217203,177.492234348613,206.397683606103,259.895210673421,279.423666679114,297.529897692277,335.458474314729
"gum",103.856836451902,123.89514094077,173.208845499491,205.858808844381,277.716189955513,308.094280208552,338.361525913082,408.472980664246
"gam",104.297219191004,125.6767082343,175.51547729867,206.046563444314,267.47634644992,291.624513842525,314.878533713224,366.36611193559
"glo",103.095018771293,119.775274585223,164.537369239934,199.941030615657,305.534186874303,366.24849337416,439.497713867238,674.590622012086
"lap",101.932344447761,119.525986548515,159.284996323854,189.361526151089,259.197065753664,289.273595580898,319.350125408133,389.185665010708
"rice",108.186039345984,131.560291102113,178.218362620098,202.920164178859,246.593506500676,262.081492685616,276.281322984856,305.623973393845
"nor",110.038708431016,133.0625,178.049924510843,201.565648461375,242.842137675065,257.413449327975,270.749052719543,298.24558598811
"revgum",118.900276804735,142.22985905923,178.881323618034,194.463779746785,217.52424684769,224.621569601857,230.721881009777,242.262745771704
"empirical",92.3333333333333,112,172.4,197.6,288,288,288,288
"quantileMean",91.9675925925926,108,171.958333333333,190.966666666667,282.882222222222,285.441111111111,286.720555555556,287.744111111111
"weighted1",101.397332518378,120.970178455772,172.598099502433,207.239221322626,282.015942371335,313.591605100959,345.539504112237,423.435467920867
"weighted2",100.211658822486,119.570634073281,172.578762573359,208.548785069197,285.875298244772,318.272952540052,350.882293443796,429.671381703359
"weighted3",98.0507228091656,116.822955333624,172.762598323937,211.662828081784,294.777540635397,329.032524578499,363.06030512894,443.036487986014
"weightedc",NA,NA,NA,NA,NA,NA,NA,NA
"n_full",24,NA,NA,NA,NA,NA,NA,NA
"n",24,NA,NA,NA,NA,NA,NA,NA
"threshold",79,NA,NA,NA,NA,NA,NA,NA
